,Brand,Gender,Price,Color
189,Story@home,Unisex,1199,Blue
190,Urban Dog,Men,399, Black
191,ID,Men,3285, Beige
192,Carrera,Men,5299, Brown
193,Story@home,Unisex,1399, Green
194,Campus Sutra,Men,699, Red
195,Gini and Jony,Boys,839, Black
196,Story@home,Unisex,1199, Green
197,DKNY,Unisex,9765, Maroon
198,Parx,Men,804, Red
199,Soie,Women,728, Green
200,Raymond,Men,999, Maroon
201,Lakme,Women,400, Matte
202,Gini and Jony,Girls,1539,Blue
203,PARFAIT,Women,1609, Red
204,Parx,Men,639,Blue
205,Urban Dog,Men,399, Black
206,Campus Sutra,Men,599,Blue
207,EthnoVogue,Women,4573, Pink
208,PARFAIT,Women,1609, Red
209,Lady Lyka,Women,425, Brown
210,PARFAIT,Women,899,Blue
211,Tokyo Talkies,Women,293, Burgundy
212,Parx,Men,839,Blue
213,ROMEE,Unisex,1999, Red
214,ZUSH,Women,1249, Black
215,Lady Lyka,Women,593, Beige
216,TAYHAA,Unisex,350, White
217,Gini and Jony,Boys,1189,Blue
218,Ishin,Women,524, Red
219,Shoe Couture,Women,1214, Black
220,MIAH Decor,Unisex,974, Red
221,Parx,Men,779,Blue
223,PARFAIT,Women,1679, Red
224,PARFAIT,Women,499,Blue
225,HARBORNBAY,Men,448,Blue
226,Difference of Opinion,Men,499, Black
227,SPYKAR,Women,989,Blue
228,Parx,Men,879,Blue
229,Lady Lyka,Women,678, White
230,Gini and Jony,Boys,699,Blue
231,Palm Tree,Girls,629, Red
232,Raymond,Men,1299, Grey
233,JEWEL JUNCTION,Men,539, Gold
234,Story@home,Unisex,1399, Red
235,Palm Tree,Boys,629, White
236,SPYKAR,Women,1099,Blue
237,ID,Men,2985, Beige
238,Keds,Women,3899, Red
239,Parx,Men,759,Blue
240,Parx,Men,944, Grey
241,Homesake,Unisex,1732,Blue
242,Parx,Men,759, Grey
243,SEJ by Nisha Gupta,Unisex,999,Blue
245,ID,Men,2985, Green
246,Gini and Jony,Girls,629,Blue
247,her by invictus,Women,944, Red
248,HARBORNBAY,Women,401, Red
249,Aj DEZInES,Boys,389, Red
250,Gini and Jony,Boys,979,Blue
251,AccessHer,Women,443,Blue
252,Monte Carlo,Women,1501,Blue
254,ID,Men,1785, Brown
255,Parx,Men,839, Khaki
256,PARFAIT,Women,1819, Red
257,Lady Lyka,Women,593, Black
258,PARFAIT,Women,1679, Red
259,Gini and Jony,Boys,1019,Blue
260,ahilya,Women,6120, Gold
261,Parx,Men,679, White
262,Parx,Men,719,Blue
263,SPYKAR,Women,999,Blue
264,SEJ by Nisha Gupta,Unisex,999,Blue
265,SEJ by Nisha Gupta,Unisex,999, Pink
267,JEWEL JUNCTION,Men,539, Silver
268,Gini and Jony,Girls,1469,Blue
269,Bvlgari,Women,10950, Gold
270,Urban Dog,Men,399,Blue
271,HIGHLANDER,Men,699, Beige
272,VASTRAMAY,Boys,1469,Blue
273,DKNY,Unisex,10800, Black
274,SEJ by Nisha Gupta,Unisex,799,Blue
275,Palm Tree,Girls,349, Burgundy
276,Bvlgari,Women,7650, Rose
277,Parx,Men,559,Blue
278,even,Men,1039, Grey
279,PARFAIT,Women,1609, Red
280,ID,Men,1785, Brown
281,Parx,Men,699, White
282,ether,Women,1399, Maroon
283,Crimsoune Club,Men,1599, White
284,SEJ by Nisha Gupta,Unisex,999,Blue
285,Urban Dog,Men,399,Blue
286,Carrera,Men,4499, Grey
287,Aj DEZInES,Boys,539, Red
288,PARFAIT,Women,1609, Red
289,JEWEL JUNCTION,Men,539,Blue
290,Gini and Jony,Boys,489, Red
291,JEWEL JUNCTION,Men,539, Gold
292,Homesake,Unisex,1836, White
293,U.S. Polo Assn. Kids,Boys,899, Yellow
294,HIGHLANDER,Men,699, White
295,SEJ by Nisha Gupta,Unisex,799, Red
296,her by invictus,Women,1999, Black
298,Homesake,Unisex,1620, Red
299,SPYKAR,Women,1079,Blue
300,Russell Athletic,Women,2999, Black
301,Gini and Jony,Girls,559,Blue
302,Sera,Women,1317,Blue
303,MIMOSA,Women,1195,Blue
304,Kazo,Women,1690, Green
